Passport,AL,DZ,AD,AO,AG,AR,AM,AU,AT,AZ,BS,BH,BD,BB,BY,BE,BZ,BJ,BT,BO,BA,BW,BR,BN,BG,BF,BI,KH,CM,CA,CV,CF,TD,CL,CN,CO,KM,CG,CD,CR,CI,HR,CU,CY,CZ,DK,DJ,DM,DO,EC,EG,SV,GQ,ER,EE,SZ,ET,FJ,FI,FR,GA,GM,GE,DE,GH,GR,GD,GT,GN,GW,GY,HT,HN,HK,HU,IS,IN,ID,IR,IQ,IE,IL,IT,JM,JP,JO,KZ,KE,KI,XK,KW,KG,LA,LV,LB,LS,LR,LY,LI,LT,LU,MO,MG,MW,MY,MV,ML,MT,MH,MR,MU,MX,FM,MD,MC,MN,ME,MA,MZ,MM,NA,NR,NP,NL,NZ,NI,NE,NG,KP,MK,NO,OM,PK,PW,PS,PA,PG,PY,PE,PH,PL,PT,QA,RO,RU,RW,KN,LC,WS,SM,ST,SA,SN,RS,SC,SL,SG,SK,SI,SB,SO,ZA,KR,SS,ES,LK,VC,SD,SR,SE,CH,SY,TW,TJ,TZ,TH,TL,TG,TO,TT,TN,TM,TV,TR,UG,UA,AE,GB,US,UY,UZ,VU,VA,VE,VN,YE,ZM,ZW,AF
SK,90,visa required,visa free,30,180,90,180,eta,visa free,e-visa,90,visa on arrival,visa on arrival,90,30,visa free,visa free,e-visa,e-visa,90,90,90,90,90,visa free,visa on arrival,visa on arrival,visa on arrival,e-visa,eta,30,visa required,visa required,90,30,90,visa on arrival,visa required,e-visa,180,eta,visa free,e-visa,visa free,visa free,visa free,visa on arrival,180,visa free,90,visa on arrival,180,e-visa,visa required,visa free,30,visa on arrival,120,visa free,visa free,e-visa,90,360,visa free,visa on arrival,visa free,90,90,e-visa,visa on arrival,visa required,90,90,90,visa free,visa free,e-visa,visa on arrival,visa on arrival,visa on arrival,visa free,90,visa free,30,90,visa on arrival,30,eta,90,90,visa on arrival,60,visa on arrival,visa free,visa on arrival,e-visa,visa required,e-visa,visa free,visa free,visa free,90,visa on arrival,visa on arrival,90,visa on arrival,visa required,visa free,90,visa on arrival,90,180,90,90,visa free,30,90,90,visa on arrival,e-visa,visa on arrival,visa required,visa on arrival,visa free,eta,90,visa required,e-visa,visa required,90,visa free,visa on arrival,e-visa,90,visa free,90,eta,90,90,30,visa free,visa free,visa on arrival,visa free,e-visa,visa on arrival,90,90,90,visa free,15,visa on arrival,90,90,90,visa on arrival,90,-1,visa free,90,visa on arrival,e-visa,90,e-visa,visa free,visa on arrival,90,visa required,visa required,visa free,visa free,e-visa,90,30,visa on arrival,60,90,e-visa,90,90,90,visa required,90,90,e-visa,90,90,180,eta,90,30,120,visa free,90,e-visa,visa required,90,visa on arrival,visa required
SI,90,visa required,visa free,30,180,90,180,eta,visa free,e-visa,90,visa on arrival,visa on arrival,90,30,visa free,visa free,e-visa,e-visa,90,90,90,90,90,visa free,visa on arrival,visa on arrival,visa on arrival,e-visa,eta,30,visa required,visa required,90,30,90,visa on arrival,visa required,e-visa,180,eta,visa free,e-visa,visa free,visa free,visa free,visa on arrival,180,visa free,90,visa on arrival,180,e-visa,visa required,visa free,30,visa on arrival,120,visa free,visa free,e-visa,90,360,visa free,visa on arrival,visa free,90,90,e-visa,visa on arrival,visa required,90,90,90,visa free,visa free,e-visa,visa on arrival,visa on arrival,visa on arrival,visa free,90,visa free,30,90,visa on arrival,30,eta,90,90,visa on arrival,60,visa on arrival,visa free,visa on arrival,e-visa,visa required,e-visa,visa free,visa free,visa free,90,visa on arrival,visa on arrival,90,visa on arrival,visa required,visa free,90,visa on arrival,90,180,90,90,visa free,30,90,90,visa on arrival,e-visa,visa required,visa required,visa on arrival,visa free,eta,90,visa required,e-visa,visa required,90,visa free,visa on arrival,e-visa,90,visa free,90,eta,90,90,30,visa free,visa free,visa on arrival,visa free,e-visa,visa on arrival,90,90,90,visa free,15,visa on arrival,90,90,90,visa on arrival,90,visa free,-1,90,visa on arrival,visa required,90,e-visa,visa free,visa on arrival,90,visa required,visa required,visa free,visa free,e-visa,90,30,visa on arrival,60,90,e-visa,90,90,90,visa required,90,90,e-visa,90,90,180,eta,90,30,120,visa free,90,e-visa,visa required,90,visa on arrival,visa required
SB,e-visa,visa required,90,30,180,visa required,e-visa,e-visa,90,visa required,90,e-visa,visa on arrival,180,visa required,90,visa free,e-visa,e-visa,visa on arrival,90,90,visa required,visa required,90,e-visa,visa on arrival,visa on arrival,e-visa,eta,visa on arrival,visa required,visa required,visa required,30,90,visa on arrival,visa required,e-visa,30,eta,90,e-visa,90,90,90,visa on arrival,180,visa free,90,visa on arrival,180,e-visa,visa required,90,30,e-visa,120,90,90,e-visa,90,e-visa,90,visa on arrival,90,90,90,e-visa,visa on arrival,visa required,90,90,e-visa,90,90,e-visa,e-visa,visa on arrival,e-visa,90,90,90,visa free,visa required,visa on arrival,visa required,eta,90,90,visa required,e-visa,visa on arrival,90,visa required,90,visa required,e-visa,90,90,90,visa on arrival,visa on arrival,30,30,visa on arrival,visa required,90,visa on arrival,visa on arrival,90,visa required,30,90,90,e-visa,90,visa required,visa on arrival,visa required,visa required,visa on arrival,visa on arrival,90,visa required,90,visa required,e-visa,visa required,visa required,90,e-visa,e-visa,visa on arrival,visa free,90,eta,visa required,180,30,90,90,e-visa,90,visa required,30,90,42,visa on arrival,90,e-visa,visa required,visa on arrival,visa required,90,visa on arrival,30,90,90,-1,e-visa,visa required,eta,e-visa,90,visa on arrival,90,visa required,visa required,90,90,e-visa,e-visa,30,90,e-visa,visa on arrival,e-visa,visa on arrival,visa free,visa required,visa required,visa on arrival,e-visa,90,visa required,90,eta,visa required,visa required,e-visa,120,90,visa required,e-visa,visa required,90,90,visa required
SO,e-visa,visa required,visa required,visa required,e-visa,visa required,visa required,no admission,visa required,visa required,e-visa,e-visa,visa on arrival,visa required,visa required,visa required,visa required,90,e-visa,visa on arrival,visa required,e-visa,visa required,visa required,visa required,visa on arrival,visa on arrival,visa on arrival,e-visa,no admission,visa on arrival,visa required,visa required,visa required,visa required,e-visa,visa on arrival,visa required,e-visa,visa required,eta,visa required,visa required,visa required,visa required,visa required,e-visa,21,visa required,e-visa,visa required,e-visa,e-visa,visa required,visa required,visa required,e-visa,visa required,visa required,visa required,e-visa,90,e-visa,visa required,visa on arrival,visa required,visa required,visa required,e-visa,visa on arrival,visa required,90,visa required,e-visa,visa required,visa required,visa required,e-visa,visa required,e-visa,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa free,visa required,visa required,visa required,e-visa,visa on arrival,visa required,visa on arrival,e-visa,visa required,e-visa,visa required,visa required,visa required,visa on arrival,visa on arrival,e-visa,30,visa on arrival,visa required,visa required,visa required,visa on arrival,visa required,visa required,30,e-visa,visa required,visa required,visa required,visa required,e-visa,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa on arrival,visa required,visa required,visa required,e-visa,visa required,visa on arrival,visa free,visa required,e-visa,visa required,visa required,visa required,visa required,visa required,e-visa,visa required,visa required,30,e-visa,visa required,visa on arrival,visa required,e-visa,visa required,visa required,visa required,90,e-visa,e-visa,visa required,visa required,visa required,-1,visa required,e-visa,e-visa,visa required,visa on arrival,90,visa required,e-visa,visa required,visa required,e-visa,visa required,e-visa,e-visa,visa required,visa on arrival,e-visa,visa required,visa required,visa required,visa required,visa on arrival,visa required,e-visa,visa required,e-visa,visa required,visa required,visa required,visa required,visa required,visa required,visa required,e-visa,visa required,e-visa,e-visa,visa required
ZA,e-visa,visa required,visa required,30,180,90,visa on arrival,e-visa,visa required,e-visa,90,e-visa,visa required,180,visa required,visa required,visa free,90,e-visa,visa on arrival,visa required,90,90,visa required,visa required,e-visa,visa on arrival,visa on arrival,e-visa,visa required,visa on arrival,visa required,visa required,90,visa required,e-visa,visa on arrival,visa required,e-visa,180,eta,visa required,e-visa,visa required,visa required,visa required,visa on arrival,180,visa free,90,visa on arrival,180,e-visa,visa required,visa required,30,visa on arrival,120,visa required,visa required,30,90,360,visa required,90,visa required,90,90,e-visa,visa on arrival,30,90,90,30,visa required,visa required,e-visa,visa on arrival,visa on arrival,e-visa,visa required,90,visa required,visa free,e-visa,visa on arrival,e-visa,eta,90,visa required,visa required,visa on arrival,visa on arrival,visa required,visa required,visa free,visa required,e-visa,visa required,visa required,visa required,30,visa on arrival,90,90,visa on arrival,visa required,visa required,visa on arrival,visa on arrival,90,visa required,30,e-visa,visa required,e-visa,visa required,visa required,visa free,e-visa,90,visa required,visa on arrival,visa required,visa required,90,visa required,visa on arrival,visa required,visa required,visa required,visa on arrival,eta,visa on arrival,visa free,90,eta,90,180,30,visa required,visa required,visa on arrival,visa required,90,30,90,42,visa on arrival,visa required,e-visa,visa on arrival,visa on arrival,visa required,90,visa on arrival,30,visa required,visa required,visa required,visa on arrival,-1,eta,e-visa,visa required,visa on arrival,90,visa required,e-visa,visa required,visa required,e-visa,visa required,visa on arrival,90,60,visa on arrival,e-visa,visa required,90,90,visa required,visa on arrival,e-visa,e-visa,visa required,e-visa,visa required,visa required,90,visa required,120,visa required,90,e-visa,visa required,90,90,visa required
KR,90,visa required,90,30,180,90,180,eta,90,visa on arrival,90,visa on arrival,visa on arrival,90,30,90,90,e-visa,e-visa,visa on arrival,90,90,90,30,90,e-visa,visa on arrival,visa on arrival,e-visa,eta,visa on arrival,visa required,visa required,90,30,90,visa on arrival,visa required,e-visa,180,eta,90,e-visa,90,90,90,visa on arrival,180,visa free,90,visa on arrival,180,e-visa,visa required,90,30,visa on arrival,120,90,90,e-visa,90,360,90,visa on arrival,90,90,90,e-visa,visa on arrival,30,90,90,90,90,90,visa on arrival,visa on arrival,visa on arrival,visa on arrival,90,90,90,90,90,visa on arrival,30,eta,90,90,visa on arrival,60,30,90,visa on arrival,14,visa required,e-visa,90,90,90,90,visa on arrival,visa on arrival,90,visa on arrival,visa required,90,visa on arrival,visa on arrival,90,180,30,90,90,90,90,90,30,e-visa,visa on arrival,visa required,visa on arrival,90,eta,90,visa required,e-visa,visa required,90,90,visa on arrival,eta,visa on arrival,visa free,90,eta,30,180,30,90,90,visa on arrival,90,60,visa on arrival,90,42,visa on arrival,90,15,visa on arrival,90,90,90,visa on arrival,90,90,90,visa on arrival,e-visa,30,-1,e-visa,90,visa on arrival,90,visa required,visa required,90,90,e-visa,90,30,visa on arrival,60,visa on arrival,e-visa,visa on arrival,90,90,visa required,visa on arrival,90,e-visa,90,90,eta,eta,90,30,120,90,90,45,visa required,90,visa on arrival,visa required
SS,e-visa,visa required,visa required,visa required,e-visa,visa required,visa required,e-visa,visa required,visa required,e-visa,e-visa,visa on arrival,90,visa required,visa required,visa required,90,e-visa,visa on arrival,visa required,90,visa required,visa required,visa required,e-visa,90,visa on arrival,e-visa,visa required,visa on arrival,visa required,visa required,visa required,visa required,e-visa,visa on arrival,visa required,e-visa,visa required,eta,visa required,e-visa,visa required,visa required,visa required,visa on arrival,21,visa required,e-visa,visa on arrival,e-visa,e-visa,visa required,visa required,visa required,visa on arrival,visa required,visa required,visa required,e-visa,90,e-visa,visa required,visa on arrival,visa required,visa required,visa required,e-visa,visa on arrival,visa required,90,visa required,e-visa,visa required,visa required,visa required,e-visa,visa on arrival,e-visa,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa free,visa required,visa required,visa required,e-visa,visa on arrival,visa required,visa required,e-visa,visa required,e-visa,visa required,visa required,visa required,visa on arrival,visa on arrival,e-visa,30,visa on arrival,visa required,visa required,visa required,visa on arrival,visa required,visa required,30,e-visa,visa required,e-visa,visa required,visa required,visa on arrival,visa required,visa required,visa required,visa on arrival,visa required,visa required,visa required,visa required,visa on arrival,visa required,visa required,visa required,e-visa,e-visa,visa on arrival,visa free,visa required,e-visa,visa required,visa required,visa required,visa required,visa required,e-visa,visa required,visa required,180,e-visa,visa required,visa on arrival,visa required,e-visa,visa required,visa required,visa required,90,e-visa,30,visa required,visa required,visa required,visa on arrival,visa required,e-visa,-1,visa required,visa on arrival,90,visa required,visa required,visa required,visa required,e-visa,visa required,e-visa,90,visa required,visa on arrival,e-visa,visa required,visa required,visa required,visa required,visa on arrival,visa required,180,visa required,e-visa,visa required,visa required,visa required,visa required,visa required,visa required,visa required,e-visa,visa required,e-visa,e-visa,visa required
ES,90,visa required,visa free,30,180,90,180,eta,visa free,e-visa,90,visa on arrival,visa on arrival,90,30,visa free,visa free,e-visa,e-visa,90,90,90,90,90,visa free,visa on arrival,visa on arrival,visa on arrival,e-visa,eta,30,visa required,visa required,90,30,90,visa on arrival,visa required,e-visa,180,eta,visa free,e-visa,visa free,visa free,visa free,visa on arrival,180,visa free,90,visa on arrival,180,e-visa,visa required,visa free,30,visa on arrival,120,visa free,visa free,e-visa,90,360,visa free,visa on arrival,visa free,90,90,e-visa,visa on arrival,90,90,90,90,visa free,visa free,e-visa,visa on arrival,visa on arrival,visa on arrival,visa free,90,visa free,90,90,visa on arrival,30,eta,90,90,visa on arrival,60,15,visa free,visa on arrival,14,visa required,e-visa,visa free,visa free,visa free,90,visa on arrival,visa on arrival,90,visa on arrival,visa required,visa free,90,visa on arrival,90,180,90,90,visa free,30,90,90,30,e-visa,90,90,visa on arrival,visa free,eta,90,visa required,e-visa,visa required,90,visa free,visa on arrival,eta,90,visa free,90,eta,90,90,30,visa free,visa free,visa on arrival,visa free,e-visa,visa on arrival,90,90,90,visa free,15,visa on arrival,90,90,90,visa on arrival,90,visa free,visa free,90,visa on arrival,90,90,e-visa,-1,visa on arrival,90,visa required,visa required,visa free,visa free,e-visa,90,30,visa on arrival,60,90,e-visa,90,90,90,visa required,90,90,e-visa,90,90,180,eta,90,30,120,visa free,90,45,visa required,90,visa on arrival,visa required
LK,e-visa,visa required,visa required,visa required,e-visa,visa required,visa required,e-visa,visa required,e-visa,90,e-visa,visa required,180,visa required,visa required,visa required,e-visa,e-visa,visa on arrival,visa required,e-visa,visa required,visa required,visa required,e-visa,visa on arrival,visa on arrival,e-visa,visa required,visa on arrival,visa required,visa required,visa required,visa required,e-visa,visa on arrival,visa required,e-visa,visa required,eta,visa required,visa required,visa required,visa required,visa required,visa on arrival,180,visa required,e-visa,visa required,e-visa,e-visa,visa required,visa required,visa required,e-visa,visa required,visa required,visa required,e-visa,90,e-visa,visa required,visa on arrival,visa required,90,visa required,e-visa,visa on arrival,visa required,90,visa required,e-visa,visa required,visa required,e-visa,e-visa,visa on arrival,e-visa,visa required,visa required,visa required,visa required,visa required,visa required,e-visa,eta,90,visa required,visa required,e-visa,visa on arrival,visa required,visa required,visa free,visa required,e-visa,visa required,visa required,visa required,visa required,visa on arrival,90,e-visa,visa on arrival,visa required,visa required,visa required,visa on arrival,visa on arrival,visa required,30,e-visa,visa required,visa required,visa required,visa required,e-visa,e-visa,visa required,visa required,visa on arrival,visa required,visa required,visa required,visa required,e-visa,visa required,visa required,visa required,e-visa,eta,visa on arrival,visa required,visa required,e-visa,visa required,visa required,visa required,visa required,visa required,e-visa,visa required,visa required,30,90,visa required,visa on arrival,visa required,e-visa,visa required,visa required,visa required,90,visa on arrival,30,visa required,visa required,visa required,e-visa,visa required,e-visa,e-visa,visa required,-1,90,visa required,e-visa,visa required,visa required,e-visa,visa required,30,visa on arrival,60,visa on arrival,e-visa,visa required,visa required,visa required,visa required,visa on arrival,visa required,e-visa,visa required,e-visa,visa required,visa required,visa required,e-visa,120,visa required,90,e-visa,visa required,e-visa,e-visa,visa required
VC,e-visa,visa required,90,30,visa free,90,visa on arrival,e-visa,90,visa required,90,e-visa,visa on arrival,180,30,90,visa free,e-visa,e-visa,visa on arrival,90,90,90,visa required,90,e-visa,visa on arrival,visa on arrival,e-visa,visa required,visa on arrival,visa required,visa required,90,visa required,90,visa on arrival,visa required,e-visa,30,eta,90,60,90,90,90,visa on arrival,visa free,visa free,90,visa on arrival,180,e-visa,visa required,90,visa required,e-visa,120,90,90,e-visa,90,360,90,90,90,visa free,90,e-visa,visa on arrival,180,90,90,90,90,90,e-visa,e-visa,visa on arrival,e-visa,90,90,90,visa free,visa required,visa on arrival,e-visa,eta,90,90,visa required,e-visa,visa on arrival,90,visa required,90,visa required,e-visa,90,90,90,visa on arrival,visa on arrival,90,30,visa on arrival,visa required,90,visa on arrival,visa on arrival,90,visa required,30,90,90,e-visa,90,visa required,visa on arrival,visa required,visa required,visa required,visa on arrival,90,visa required,90,visa required,e-visa,visa required,visa required,90,e-visa,e-visa,visa on arrival,visa free,90,eta,visa required,180,30,90,90,e-visa,90,90,30,visa free,visa free,visa on arrival,90,e-visa,visa required,visa on arrival,30,90,visa on arrival,30,90,90,visa on arrival,e-visa,90,eta,e-visa,90,visa on arrival,-1,visa required,180,90,90,visa free,30,30,90,e-visa,visa on arrival,e-visa,visa on arrival,visa free,visa required,visa required,visa on arrival,visa on arrival,90,90,90,eta,visa required,90,30,120,90,90,e-visa,visa required,90,90,visa required
SD,e-visa,visa required,visa required,visa required,e-visa,visa required,visa required,e-visa,visa required,visa required,e-visa,e-visa,visa on arrival,90,visa required,visa required,visa required,90,e-visa,e-visa,visa required,e-visa,visa required,visa required,visa required,e-visa,visa on arrival,visa on arrival,e-visa,visa required,visa on arrival,visa required,visa required,visa required,visa required,e-visa,visa on arrival,visa required,e-visa,visa required,eta,visa required,e-visa,visa required,visa required,visa required,visa on arrival,21,visa required,e-visa,visa required,e-visa,e-visa,visa on arrival,visa required,visa required,e-visa,visa required,visa required,visa required,e-visa,90,e-visa,visa required,90,visa required,visa required,visa required,e-visa,visa on arrival,visa required,90,visa required,e-visa,visa required,visa required,visa required,e-visa,visa on arrival,e-visa,visa required,visa required,visa required,visa required,visa required,visa required,visa required,eta,visa required,visa required,visa required,e-visa,visa on arrival,visa required,visa on arrival,e-visa,visa required,no admission,visa required,visa required,visa required,visa on arrival,visa on arrival,e-visa,90,visa on arrival,visa required,visa required,visa required,visa on arrival,visa required,visa required,30,visa required,visa required,visa required,visa required,visa required,visa on arrival,visa required,visa required,visa required,visa on arrival,visa required,visa required,visa required,visa required,visa on arrival,visa required,visa required,visa required,e-visa,e-visa,visa on arrival,visa required,visa required,e-visa,visa required,visa required,visa required,visa required,visa required,e-visa,visa required,visa required,30,e-visa,visa on arrival,visa on arrival,visa required,e-visa,visa required,visa required,visa required,90,e-visa,e-visa,visa required,visa required,visa required,visa on arrival,visa required,e-visa,e-visa,visa required,visa on arrival,90,-1,visa required,visa required,visa required,visa free,visa required,e-visa,visa on arrival,e-visa,visa on arrival,e-visa,visa required,visa required,visa required,visa required,visa on arrival,visa required,e-visa,visa required,e-visa,visa required,visa required,visa required,visa required,visa required,visa required,visa required,e-visa,visa required,e-visa,e-visa,visa required
SR,e-visa,visa required,visa required,30,180,90,e-visa,e-visa,visa required,visa required,90,visa on arrival,visa on arrival,180,visa required,visa required,visa free,e-visa,e-visa,visa on arrival,visa required,e-visa,90,visa required,visa required,e-visa,visa on arrival,visa on arrival,e-visa,visa required,visa on arrival,visa required,visa required,visa required,30,90,visa on arrival,visa required,e-visa,30,eta,visa required,e-visa,visa required,visa required,visa required,visa on arrival,180,visa free,90,visa on arrival,e-visa,e-visa,visa required,visa required,visa required,e-visa,visa required,visa required,visa required,e-visa,90,e-visa,visa required,visa on arrival,visa required,90,visa required,e-visa,visa on arrival,180,90,visa required,14,visa required,visa required,e-visa,30,visa on arrival,e-visa,visa required,90,visa required,90,90,visa on arrival,e-visa,eta,90,visa required,visa required,e-visa,visa required,visa required,visa required,e-visa,visa required,e-visa,visa required,visa required,visa required,visa on arrival,visa on arrival,visa on arrival,30,visa on arrival,visa required,visa required,visa required,visa on arrival,90,visa required,30,e-visa,visa required,e-visa,visa required,visa required,visa on arrival,visa required,visa required,visa required,visa on arrival,visa required,visa required,visa on arrival,visa required,e-visa,visa required,visa required,visa required,visa on arrival,e-visa,visa on arrival,visa free,visa required,e-visa,visa required,180,30,visa required,visa required,visa on arrival,visa required,90,visa on arrival,180,42,visa on arrival,visa required,e-visa,visa required,visa on arrival,30,90,e-visa,30,visa required,visa required,visa required,e-visa,visa required,eta,e-visa,visa required,visa on arrival,90,visa required,-1,visa required,visa required,e-visa,visa required,e-visa,visa on arrival,e-visa,visa on arrival,e-visa,visa required,visa free,visa required,visa required,visa on arrival,e-visa,e-visa,visa required,e-visa,visa required,visa required,visa required,e-visa,visa required,visa required,visa required,e-visa,visa required,visa on arrival,visa on arrival,visa required
SE,90,visa required,visa free,30,180,90,180,eta,visa free,e-visa,90,visa on arrival,visa on arrival,90,30,visa free,visa free,e-visa,e-visa,90,90,90,90,90,visa free,visa on arrival,visa on arrival,visa on arrival,e-visa,eta,30,visa required,visa required,90,visa required,90,visa on arrival,visa required,e-visa,180,eta,visa free,e-visa,visa free,visa free,visa free,visa on arrival,180,visa free,90,visa on arrival,180,e-visa,visa required,visa free,30,visa on arrival,120,visa free,visa free,e-visa,90,360,visa free,visa on arrival,visa free,90,90,e-visa,visa on arrival,90,90,90,90,visa free,visa free,e-visa,visa on arrival,visa on arrival,visa on arrival,visa free,90,visa free,90,90,visa on arrival,30,eta,90,90,visa on arrival,60,15,visa free,visa on arrival,14,visa required,e-visa,visa free,visa free,visa free,90,visa on arrival,30,90,visa on arrival,visa required,visa free,90,visa on arrival,90,180,90,90,visa free,30,90,90,30,e-visa,90,visa required,visa on arrival,visa free,eta,90,visa required,e-visa,visa required,90,visa free,visa on arrival,eta,90,visa free,90,eta,90,90,30,visa free,visa free,visa on arrival,visa free,e-visa,visa on arrival,90,90,90,visa free,15,visa on arrival,90,90,90,visa on arrival,90,visa free,visa free,90,visa on arrival,90,90,e-visa,visa free,visa on arrival,90,visa required,90,-1,visa free,e-visa,90,30,visa on arrival,60,90,e-visa,90,90,90,visa required,90,90,e-visa,90,90,180,eta,90,30,120,visa free,90,45,visa required,90,visa on arrival,visa required
CH,90,visa required,visa free,30,180,90,180,eta,visa free,e-visa,240,visa on arrival,visa on arrival,180,30,visa free,30,e-visa,e-visa,90,90,90,90,90,visa free,visa on arrival,visa on arrival,visa on arrival,e-visa,eta,30,visa required,visa required,90,30,90,visa on arrival,visa required,e-visa,180,eta,visa free,e-visa,visa free,visa free,visa free,visa on arrival,180,visa free,90,visa on arrival,180,e-visa,visa required,visa free,30,visa on arrival,120,visa free,visa free,e-visa,90,360,visa free,visa on arrival,visa free,90,90,e-visa,visa on arrival,90,90,90,90,visa free,visa free,e-visa,visa on arrival,visa on arrival,visa on arrival,visa free,90,visa free,90,90,visa on arrival,30,eta,90,90,visa on arrival,60,15,visa free,visa on arrival,14,visa required,e-visa,visa free,visa free,visa free,90,visa on arrival,visa on arrival,90,visa on arrival,visa required,visa free,visa on arrival,visa on arrival,90,180,90,90,visa free,30,90,90,30,e-visa,90,visa required,visa on arrival,visa free,eta,90,visa required,e-visa,visa required,90,visa free,visa on arrival,eta,visa on arrival,visa free,90,eta,90,90,30,visa free,visa free,visa on arrival,visa free,e-visa,30,90,90,visa on arrival,visa free,15,visa on arrival,90,90,90,visa on arrival,90,visa free,visa free,90,visa on arrival,90,90,e-visa,visa free,visa on arrival,90,visa required,visa required,visa free,-1,e-visa,90,30,visa on arrival,60,90,e-visa,90,90,90,visa required,90,90,e-visa,90,90,180,eta,90,30,120,visa free,90,e-visa,visa required,visa on arrival,visa on arrival,visa required
SY,visa required,visa required,visa required,visa required,e-visa,visa required,visa required,e-visa,visa required,visa required,e-visa,e-visa,visa required,visa required,visa required,visa required,visa required,e-visa,e-visa,visa on arrival,visa required,e-visa,visa required,visa required,visa required,e-visa,visa on arrival,visa on arrival,e-visa,visa required,visa on arrival,visa required,visa required,visa required,visa required,e-visa,visa on arrival,visa required,e-visa,visa required,eta,visa required,visa required,visa required,visa required,visa required,visa on arrival,21,visa required,e-visa,visa required,e-visa,e-visa,visa required,visa required,visa required,visa required,visa required,visa required,visa required,e-visa,visa required,e-visa,visa required,visa on arrival,visa required,visa required,visa required,e-visa,visa on arrival,visa required,90,visa required,e-visa,visa required,visa required,visa required,e-visa,90,e-visa,visa required,visa required,visa required,visa required,visa required,visa required,visa required,eta,visa required,visa required,visa required,e-visa,visa required,visa required,visa on arrival,e-visa,visa required,no admission,visa required,visa required,visa required,visa on arrival,visa on arrival,e-visa,90,visa on arrival,visa required,visa required,visa required,visa required,visa required,visa required,30,e-visa,visa required,visa required,visa required,visa required,visa on arrival,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,e-visa,visa required,visa required,visa required,e-visa,e-visa,visa on arrival,visa free,visa required,e-visa,visa required,visa required,visa required,visa required,visa required,e-visa,visa required,visa required,visa on arrival,e-visa,visa required,visa on arrival,visa required,e-visa,visa required,visa required,visa required,90,e-visa,e-visa,visa required,visa required,visa required,e-visa,visa required,e-visa,e-visa,visa required,visa required,visa required,visa required,e-visa,visa required,visa required,-1,visa required,e-visa,e-visa,visa required,visa on arrival,e-visa,visa required,visa required,visa required,visa required,visa on arrival,visa required,e-visa,visa required,e-visa,visa required,visa required,visa required,visa required,visa required,visa required,visa required,e-visa,visa on arrival,e-visa,e-visa,visa required
TW,90,visa required,90,visa required,30,visa required,e-visa,eta,90,visa required,e-visa,e-visa,visa on arrival,visa required,visa required,90,90,e-visa,e-visa,visa on arrival,90,e-visa,visa required,visa on arrival,90,visa on arrival,visa on arrival,visa on arrival,e-visa,eta,visa on arrival,visa required,visa required,90,visa free,e-visa,visa on arrival,visa required,e-visa,30,eta,90,e-visa,90,90,90,visa on arrival,180,visa free,e-visa,visa on arrival,e-visa,e-visa,visa required,90,30,visa on arrival,120,90,90,e-visa,90,no admission,90,visa on arrival,90,visa required,90,e-visa,visa on arrival,visa required,90,90,30,90,90,e-visa,visa on arrival,visa on arrival,e-visa,90,90,90,visa required,90,visa on arrival,visa required,eta,visa required,90,visa required,e-visa,visa on arrival,90,visa required,e-visa,visa required,e-visa,90,90,90,visa free,visa on arrival,visa on arrival,30,visa on arrival,visa required,90,90,visa on arrival,visa on arrival,visa required,30,e-visa,90,e-visa,90,visa required,visa on arrival,e-visa,visa required,visa required,visa on arrival,90,eta,90,visa required,e-visa,visa required,90,90,visa on arrival,visa required,90,visa free,90,eta,90,180,visa required,90,90,visa on arrival,90,e-visa,visa on arrival,90,42,visa on arrival,90,e-visa,visa on arrival,visa required,visa required,90,e-visa,30,90,90,visa on arrival,visa on arrival,visa required,90,e-visa,90,visa on arrival,90,visa required,visa required,90,90,e-visa,-1,e-visa,visa on arrival,60,visa on arrival,e-visa,visa required,visa required,visa required,visa required,90,e-visa,e-visa,visa required,e-visa,eta,eta,visa required,visa required,120,90,visa required,e-visa,visa required,e-visa,e-visa,visa required
