Passport,AF,AL,DZ,AD,AO,AG,AR,AM,AU,AT,AZ,BS,BH,BD,BB,BY,BE,BZ,BJ,BT,BO,BA,BW,BR,BN,BG,BF,BI,KH,CM,CA,CV,CF,TD,CL,CN,CO,KM,CG,CD,CR,CI,HR,CU,CY,CZ,DK,DJ,DM,DO,EC,EG,SV,GQ,ER,EE,SZ,ET,FJ,FI,FR,GA,GM,GE,DE,GH,GR,GD,GT,GN,GW,GY,HT,HN,HK,HU,IS,IN,ID,IR,IQ,IE,IL,IT,JM,JP,JO,KZ,KE,KI,XK,KW,KG,LA,LV,LB,LS,LR,LY,LI,LT,LU,MO,MG,MW,MY,MV,ML,MT,MH,MR,MU,MX,FM,MD,MC,MN,ME,MA,MZ,MM,NA,NR,NP,NL,NZ,NI,NE,NG,KP,MK,NO,OM,PK,PW,PS,PA,PG,PY,PE,PH,PL,PT,QA,RO,RU,RW,KN,LC,WS,SM,ST,SA,SN,RS,SC,SL,SG,SK,SI,SB,SO,ZA,KR,SS,ES,LK,VC,SD,SR,SE,CH,SY,TW,TJ,TZ,TH,TL,TG,TO,TT,TN,TR,TM,TV,UG,UA,AE,GB,US,UY,UZ,VU,VA,VE,VN,YE,ZM,ZW
DE,0,3,0,3,1,3,3,3,2,3,1,3,1,1,3,3,3,3,0,0,3,3,3,3,3,3,1,0,1,0,2,3,0,0,3,0,3,1,0,0,3,2,3,1,3,3,3,1,3,3,3,1,3,0,0,3,3,1,3,3,3,1,3,3,-1,0,3,3,3,0,1,3,3,3,3,3,3,2,3,1,0,3,3,3,3,3,1,3,1,3,3,1,3,1,3,1,3,0,0,3,3,3,3,1,1,3,1,0,3,3,1,3,3,3,3,3,3,3,3,1,1,3,0,1,3,3,3,0,0,0,3,3,1,0,3,3,3,1,3,3,3,3,3,3,3,0,1,3,3,3,3,3,0,3,3,1,0,3,3,3,3,1,3,3,0,3,2,3,0,1,3,3,0,3,1,1,3,3,1,3,3,3,3,0,3,1,3,3,3,2,3,3,3,3,3,3,0,1,1
GH,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,0,1,0,0,0,0,0,3,0,1,0,0,3,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,3,0,3,0,0,0,0,0,3,1,3,0,0,1,3,0,0,-1,0,3,0,3,3,0,3,0,0,0,0,2,3,1,0,0,0,0,3,0,1,0,3,0,0,0,0,0,0,1,1,3,0,0,0,0,1,1,0,0,1,3,0,0,1,3,0,3,0,0,0,0,0,1,1,0,0,0,0,0,1,3,3,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,3,3,1,1,0,0,0,3,0,1,3,3,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,1,3,0,3,0,0,0,1,3,0,0,0,0,0,1,3,0,0,0,0,1,3
GR,0,3,0,3,1,3,3,3,2,3,1,3,1,1,3,3,3,3,0,0,3,3,3,3,3,3,1,0,1,0,2,3,0,0,3,0,3,1,0,0,3,2,3,1,3,3,3,1,3,3,3,1,3,0,0,3,3,1,3,3,3,1,3,3,3,0,-1,3,3,0,1,3,3,3,3,3,3,2,3,1,0,3,3,3,3,3,1,3,1,3,3,1,3,1,3,1,1,0,0,3,3,3,3,1,1,3,1,0,3,3,1,3,3,3,3,3,0,3,3,1,1,0,0,1,3,3,3,0,0,0,3,3,1,0,3,3,3,1,3,3,3,3,3,3,3,0,1,3,3,3,3,3,0,3,3,1,0,3,3,3,3,1,3,3,0,3,2,3,0,1,3,3,0,3,1,1,3,3,1,3,3,3,3,0,3,1,3,3,3,2,3,3,3,3,3,1,0,1,1
GD,0,0,0,3,0,3,3,1,0,3,0,3,0,3,3,0,3,3,0,0,1,3,3,3,0,3,0,0,1,0,0,1,0,0,3,3,3,1,0,0,3,2,3,3,3,3,3,1,3,3,3,1,0,0,0,3,3,1,3,3,3,1,3,0,3,0,3,-1,0,0,1,3,3,0,3,3,3,2,3,1,0,3,3,3,3,0,1,0,3,3,3,0,0,1,3,0,3,0,0,3,3,3,3,1,3,3,1,0,3,0,1,3,0,3,3,3,0,3,0,1,0,0,0,1,3,0,1,0,0,0,0,3,0,0,1,3,3,0,0,3,3,3,3,1,3,3,1,3,3,1,3,0,0,1,3,1,0,3,3,3,1,1,0,3,0,3,2,3,0,3,3,3,0,0,0,3,0,1,1,0,3,0,1,0,1,3,0,0,3,0,3,1,3,3,3,0,0,3,3
GT,0,3,0,3,0,0,3,1,0,3,1,3,0,1,0,0,3,3,0,0,1,3,0,3,0,3,0,0,1,0,0,1,0,0,3,0,3,1,0,0,3,2,3,1,3,3,3,1,3,3,3,0,3,0,0,3,0,1,0,3,3,1,0,0,3,0,3,0,-1,0,1,0,3,3,3,3,3,2,3,1,0,3,3,3,3,3,1,0,1,0,3,0,0,1,3,0,1,0,0,3,3,3,1,1,1,3,1,0,3,1,1,1,0,3,3,3,0,3,0,1,1,0,0,1,3,0,3,0,0,0,3,3,0,0,1,3,3,0,3,3,3,3,3,1,3,3,1,3,1,1,3,0,0,1,0,1,0,3,3,3,0,1,0,3,0,3,2,3,0,1,3,3,0,3,0,1,0,1,1,0,3,0,3,0,1,1,0,0,3,0,3,1,0,3,3,0,0,1,1
GN,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,1,0,0,0,0,0,3,0,1,0,0,3,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,3,0,3,1,0,0,0,0,0,1,0,0,0,1,3,0,0,3,0,0,0,-1,3,0,3,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,3,0,0,0,0,1,1,1,3,1,3,0,0,1,1,0,3,0,0,0,0,0,1,1,0,0,1,0,0,1,3,3,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,3,0,1,1,0,0,0,3,0,1,3,3,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,3,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GW,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,1,0,0,0,0,0,3,0,1,0,0,3,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,1,3,0,3,0,0,0,0,0,0,1,0,0,0,1,3,0,0,3,0,0,0,3,-1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,1,1,1,0,1,3,0,0,1,1,0,3,0,0,0,0,0,1,0,0,0,1,0,0,1,3,3,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,1,0,1,1,0,3,0,3,3,1,3,3,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,3,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GY,0,0,0,0,0,3,3,1,0,0,0,3,1,1,3,0,0,3,0,0,1,0,3,3,0,0,0,0,1,0,0,1,0,0,3,0,3,1,0,0,3,2,0,1,0,0,0,1,3,3,3,1,0,0,0,0,3,1,3,0,0,1,3,0,0,0,0,3,0,0,1,-1,3,0,3,0,0,2,3,1,0,3,0,0,3,0,1,0,1,0,3,0,0,1,0,0,3,0,0,0,0,0,1,1,1,3,1,0,0,0,1,3,0,3,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,3,3,0,0,3,3,0,0,3,0,3,1,3,3,1,0,0,0,0,0,1,0,3,0,0,1,1,3,3,0,0,2,3,0,3,0,0,0,0,0,3,0,1,1,0,3,0,1,0,1,1,0,0,0,0,3,1,3,0,0,0,0,1,1
HT,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,3,0,3,1,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,1,3,-1,0,3,0,0,2,3,1,0,0,3,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,3,1,0,0,0,1,1,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,3,0,0,1,0,0,3,0,0,1,0,0,0,1,0,1,0,3,0,0,0,1,0,3,0,0,2,3,0,1,0,0,0,3,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
HN,0,3,0,3,0,0,3,1,0,3,1,3,0,1,0,0,3,3,0,0,1,3,0,3,0,3,0,0,1,0,0,1,0,0,3,0,3,1,0,0,3,2,3,1,3,3,3,1,3,3,3,0,3,0,0,3,0,1,0,3,3,1,3,3,3,0,3,0,3,0,1,0,3,-1,3,3,3,2,3,1,0,3,3,3,0,3,1,0,1,0,3,0,0,1,3,0,1,0,0,3,3,3,1,1,1,3,1,0,3,0,1,1,0,3,3,3,0,3,0,1,0,0,0,1,3,0,3,0,0,0,3,3,0,0,1,3,3,0,3,3,3,3,3,1,3,3,1,3,1,1,3,0,0,1,0,1,0,3,3,3,0,1,0,3,0,3,2,3,0,1,3,3,0,3,0,1,0,1,1,0,3,3,3,0,1,1,0,3,3,0,3,1,0,3,0,0,0,1,1
HK,0,3,0,3,0,3,3,3,2,3,1,3,1,0,3,3,3,3,3,0,1,3,3,3,3,3,1,0,1,0,2,3,0,0,3,0,3,1,0,0,0,2,3,1,3,3,3,1,3,3,3,3,0,0,0,3,0,1,3,3,3,1,0,0,3,0,3,3,0,0,1,3,3,0,-1,3,3,2,3,1,0,3,3,3,3,3,1,3,1,3,3,1,0,1,3,1,3,0,0,3,3,3,3,1,3,3,1,0,3,0,1,3,3,3,3,3,3,3,3,1,3,3,0,1,3,3,3,3,0,0,3,3,1,0,1,3,3,1,0,3,3,3,3,3,3,3,1,3,3,1,3,0,0,0,3,1,0,3,3,3,0,1,3,3,0,3,2,3,0,3,3,3,0,1,0,3,3,1,1,1,3,3,3,0,1,3,3,3,3,0,3,1,3,3,3,1,3,3,3
HU,0,3,0,3,1,3,3,3,2,3,1,3,1,1,3,3,3,3,0,0,3,3,3,3,3,3,1,0,1,0,2,3,0,0,3,0,3,1,0,0,3,2,3,1,3,3,3,1,3,3,3,1,3,0,0,3,3,1,3,3,3,1,3,3,3,0,3,3,3,0,1,0,3,3,3,-1,3,2,3,1,0,3,3,3,3,3,1,3,1,3,3,1,3,1,3,1,1,0,0,3,3,3,3,1,1,3,1,0,3,3,1,3,3,3,3,3,0,3,3,1,1,0,0,1,3,3,3,0,0,0,3,3,1,0,3,3,3,1,3,3,3,3,3,3,3,0,1,3,3,3,3,3,0,3,3,1,0,3,3,3,3,1,3,3,0,3,2,3,0,1,3,3,0,3,1,1,3,3,1,3,3,3,3,0,3,1,3,3,3,2,3,3,3,3,3,1,0,1,1
IS,0,3,0,3,1,3,3,3,2,3,1,3,1,1,3,3,3,3,0,0,3,3,3,3,3,3,1,0,1,0,2,3,0,0,3,0,3,1,0,0,3,2,3,1,3,3,3,1,3,3,3,1,3,0,0,3,0,1,3,3,3,1,3,3,3,0,3,3,3,0,1,0,3,3,3,3,-1,2,3,1,0,3,3,3,3,3,1,3,1,3,3,1,3,1,3,1,3,0,0,3,3,3,3,1,1,3,1,0,3,1,1,3,3,3,3,3,0,3,3,1,1,3,0,1,3,3,3,0,0,0,3,3,1,0,1,3,3,1,3,3,3,3,3,3,3,0,1,3,3,1,3,3,0,1,3,1,0,3,3,3,3,1,3,3,0,3,2,3,0,1,3,3,0,3,1,1,3,3,1,3,3,3,3,0,3,1,3,3,3,2,3,3,3,3,3,1,0,1,1
IN,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,3,0,3,0,3,0,0,0,0,1,3,0,0,1,0,0,0,0,0,3,0,0,1,0,3,0,2,0,0,-1,3,1,0,0,0,0,3,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,3,1,0,1,1,0,0,1,1,3,0,3,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,3,0,0,1,3,1,1,0,0,0,3,3,1,0,0,0,0,0,1,0,0,0,0,2,3,0,1,0,0,0,0,0,1,1,1,1,0,3,3,0,0,1,1,0,0,0,0,0,1,3,0,0,1,0,0,1
ID,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,3,3,0,0,0,3,0,0,1,0,0,3,0,3,1,0,0,0,2,0,1,0,0,0,1,3,0,3,0,0,0,0,0,0,1,3,0,0,1,3,0,0,0,0,0,0,0,1,3,3,0,3,0,0,2,-1,1,0,0,0,0,0,3,1,0,1,0,0,0,1,3,0,0,1,0,0,0,0,0,3,1,1,3,1,3,0,1,1,1,0,3,0,0,0,0,3,1,3,3,0,1,0,0,1,0,0,0,0,0,1,0,1,3,0,1,0,3,3,0,0,3,0,0,3,3,0,1,0,0,0,0,3,1,0,3,0,0,0,1,0,0,0,0,2,3,0,1,0,0,0,0,1,1,3,1,1,0,0,0,1,0,1,1,0,0,0,0,0,3,0,0,0,3,0,0,1
IR,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,3,0,3,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,3,1,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,1
IQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,3,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,3,1,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IE,0,3,0,3,1,3,3,3,2,3,1,3,1,1,3,3,3,3,0,0,3,3,3,3,3,3,1,0,1,0,2,3,0,0,3,0,3,1,0,0,3,2,3,1,3,3,3,1,3,3,3,1,3,0,0,3,3,1,3,3,3,1,3,3,3,0,3,3,3,0,1,3,3,3,3,3,3,2,3,1,0,-1,3,3,3,3,1,3,1,3,3,1,3,1,3,1,3,0,0,3,3,3,3,1,1,3,1,0,3,3,1,3,3,3,3,3,0,3,3,1,1,3,0,1,3,3,3,0,0,0,3,3,1,0,1,3,3,1,3,3,3,3,3,3,3,0,1,3,3,1,3,3,0,3,3,1,0,3,3,3,1,1,3,3,0,3,2,3,0,0,3,3,0,3,1,1,3,1,1,1,3,3,1,0,1,1,3,3,3,2,3,3,3,3,3,1,0,3,1
IL,0,3,0,3,1,0,3,1,0,3,1,3,0,1,3,3,3,3,0,0,1,3,3,3,0,3,0,0,1,0,2,1,3,0,3,0,3,1,0,0,3,2,3,1,3,3,3,1,3,3,3,0,3,0,0,3,3,1,3,3,3,1,0,3,3,0,3,3,3,0,1,0,3,3,3,3,3,2,0,0,0,3,-1,3,3,3,1,3,1,0,3,0,1,1,3,0,3,0,0,3,3,3,3,1,3,0,1,0,3,1,1,3,3,3,3,3,3,3,0,1,1,0,1,1,3,3,3,0,0,0,3,3,0,0,3,3,3,1,3,3,3,3,3,1,3,3,1,3,3,1,3,0,0,1,3,1,0,3,3,3,1,1,3,3,0,3,2,3,0,3,3,3,0,3,1,1,3,1,1,1,3,0,3,0,1,1,3,0,3,0,3,3,3,3,0,0,0,1,1
IT,0,3,0,3,1,3,3,3,2,3,1,3,1,1,3,3,3,3,0,0,3,3,3,3,3,3,1,0,1,0,2,3,0,0,3,0,3,1,0,0,3,2,3,1,3,3,3,1,3,3,3,1,3,0,0,3,3,1,3,3,3,1,3,3,3,0,3,3,3,0,1,3,3,3,3,3,3,2,3,1,0,3,3,-1,3,3,1,3,1,3,3,1,3,1,3,1,3,0,0,3,3,3,3,1,1,3,1,0,3,3,1,3,3,3,3,3,0,3,3,1,1,3,0,1,3,3,3,0,0,0,3,3,1,0,3,3,3,1,3,3,3,3,3,3,3,0,1,3,3,3,3,3,0,3,3,1,0,3,3,3,3,1,3,3,0,3,2,3,0,1,3,3,0,3,1,1,3,3,1,3,3,3,3,0,3,1,3,3,3,2,3,3,3,3,3,3,0,1,1
JM,0,0,0,0,0,3,3,1,0,0,1,3,0,3,3,0,0,3,0,0,1,0,3,3,0,0,0,0,1,0,0,1,0,0,3,0,3,1,0,0,0,2,0,1,0,0,0,1,3,3,3,1,0,0,0,0,3,1,3,0,0,1,3,0,0,0,0,3,0,0,1,3,3,0,3,0,0,2,3,1,0,0,3,0,-1,0,1,0,3,3,0,0,0,1,0,0,3,0,0,0,0,0,1,1,3,3,1,0,0,0,1,3,3,3,0,0,0,0,0,1,1,3,0,1,0,0,1,0,0,0,0,0,0,0,1,3,3,0,0,3,3,0,0,1,0,3,1,3,3,1,0,0,0,1,3,1,0,3,0,0,0,1,3,3,0,0,2,3,0,3,0,0,0,0,0,3,0,1,1,0,3,0,1,0,1,3,0,0,0,0,3,1,3,0,3,0,0,3,3
JP,0,3,0,3,1,3,3,3,2,3,1,3,1,1,3,3,3,3,0,0,3,3,3,0,3,3,0,0,1,0,2,1,0,0,3,3,3,1,0,0,3,2,3,1,3,3,3,1,3,3,3,1,3,0,0,3,3,1,3,3,3,1,0,3,3,0,3,3,3,0,1,3,3,3,3,3,3,2,3,1,0,3,3,3,3,-1,1,3,1,3,3,1,3,3,3,1,3,0,0,3,3,3,3,1,1,3,1,0,3,1,1,3,3,3,3,3,3,3,3,1,3,3,0,1,3,3,3,0,0,0,3,3,1,0,1,3,3,1,3,3,3,3,3,3,3,0,1,3,3,1,3,3,0,3,3,1,0,3,3,3,1,1,3,3,0,3,2,3,0,3,3,3,0,3,1,1,3,1,1,1,3,3,3,0,1,1,3,3,3,2,3,3,3,3,3,3,0,1,1
JO,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,3,0,3,3,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,1,0,3,0,3,0,0,2,3,0,0,0,0,0,0,0,-1,0,1,0,3,0,0,0,0,3,1,0,3,0,0,0,1,1,1,3,1,0,0,0,1,1,0,3,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,3,0,1,1,0,1,1,0,0,3,3,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
KZ,0,3,0,0,0,3,3,3,0,0,3,0,1,1,3,3,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,3,1,0,0,3,2,0,1,0,0,0,1,3,3,3,1,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,1,0,3,0,3,0,0,2,3,1,0,0,0,0,1,0,1,-1,1,0,0,0,3,1,0,1,1,0,0,0,0,0,1,1,0,3,1,0,0,1,1,1,0,3,3,0,3,0,0,1,1,3,0,1,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,3,0,0,3,0,3,1,0,0,1,0,0,0,0,3,1,0,0,0,0,0,1,0,3,0,0,2,3,0,0,0,0,0,0,3,0,1,1,1,0,0,0,3,0,1,1,3,1,0,0,0,3,0,0,0,1,0,1,1
KE,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,3,0,1,0,3,0,0,0,1,3,1,0,0,1,0,0,0,0,0,1,0,1,0,2,0,3,0,0,0,1,3,0,0,0,0,0,0,0,3,3,3,0,0,1,3,0,0,3,0,3,0,0,1,0,3,0,3,0,0,2,3,1,0,0,0,0,3,0,1,0,-1,3,0,0,0,1,0,0,3,0,0,0,0,0,1,1,3,3,1,0,0,0,1,3,0,3,0,0,0,0,0,1,1,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,3,0,0,1,0,0,3,3,1,1,0,0,0,3,0,1,1,3,0,0,0,1,0,0,1,0,0,3,1,0,0,0,0,0,0,3,0,1,1,0,3,0,0,0,1,3,0,0,0,0,0,0,3,0,0,0,0,3,3
KI,0,0,0,3,0,3,0,1,0,3,0,3,0,1,3,0,3,3,0,0,1,3,3,0,0,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3,2,3,1,3,3,3,1,3,3,3,1,0,0,0,3,0,1,3,3,3,1,3,0,3,0,3,3,0,0,1,0,3,0,3,3,3,2,3,1,0,3,0,3,3,0,1,0,3,-1,3,0,0,1,3,0,3,0,0,3,3,3,3,1,3,3,1,0,3,1,1,3,0,3,3,3,0,0,0,1,0,0,0,1,3,0,1,0,0,0,0,3,0,0,1,3,3,1,0,3,3,3,3,1,3,0,1,3,3,1,3,0,0,1,0,1,0,3,3,3,1,1,0,3,0,3,2,3,0,0,3,3,0,1,0,3,0,1,1,1,3,3,1,0,1,1,0,0,3,0,0,1,3,3,0,0,0,3,3
XK,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,3,0,3,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,-1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,3,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,3,0,1,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KW,0,3,0,0,0,0,0,1,0,0,1,3,3,1,0,3,0,0,0,0,1,3,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,3,3,3,3,3,0,0,0,3,1,0,0,0,1,0,3,0,0,0,0,3,0,1,0,3,3,3,0,0,0,3,1,0,0,0,0,0,0,3,0,1,0,3,-1,3,1,0,3,1,0,0,0,0,0,1,1,1,3,1,0,0,1,1,3,0,3,0,0,0,3,3,1,1,0,0,1,0,3,3,0,0,0,0,0,3,0,1,3,3,0,0,0,3,0,0,3,0,0,1,3,3,1,0,3,3,1,3,1,0,3,0,0,1,1,0,3,0,0,2,3,3,0,0,0,3,1,1,1,3,1,1,0,0,3,3,0,1,1,0,3,2,0,0,1,3,0,0,0,1,0,1
KG,0,0,0,0,0,3,0,3,0,0,3,0,0,1,3,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,3,0,3,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,3,1,0,0,0,0,1,0,1,3,1,0,0,0,-1,1,0,1,1,0,0,0,0,0,1,1,1,3,1,0,0,1,1,1,0,3,3,0,3,0,0,1,1,3,0,1,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,3,0,0,1,0,3,1,0,1,1,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,1,1,0,0,0,3,0,1,1,3,0,0,0,0,3,0,0,0,3,0,0,1
LA,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,3,0,3,1,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,-1,0,0,1,0,0,0,0,0,1,1,1,3,1,0,0,0,1,0,0,3,0,0,3,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,3,0,0,1,0,3,1,0,0,1,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,1,3,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,3,0,1,0
LV,0,3,0,3,1,3,3,3,2,3,1,3,1,1,3,3,3,3,0,0,3,3,3,3,3,3,1,0,1,0,2,3,0,0,3,0,3,1,0,0,3,2,3,1,3,3,3,1,3,3,3,1,3,0,0,3,3,1,3,3,3,1,3,3,3,0,3,3,3,0,1,0,3,3,3,3,3,2,3,1,0,3,3,3,3,3,1,3,1,3,3,1,3,1,-1,1,1,0,0,3,3,3,3,1,1,3,1,0,3,3,1,3,3,3,3,3,0,3,3,1,1,0,0,1,3,3,3,0,0,0,3,3,1,0,3,3,3,1,3,3,3,3,3,3,3,0,1,3,3,3,3,3,0,3,3,1,0,3,3,3,3,1,0,3,0,3,2,3,0,1,3,3,0,3,1,1,1,3,1,3,3,3,3,0,3,1,3,3,3,2,3,3,3,3,3,0,0,1,1
LB,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,3,0,3,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,3,3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,3,1,0,3,1,0,0,0,1,1,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,3,0,1,0,0,1,1,0,0,0,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
LS,0,0,0,0,1,3,0,0,0,0,0,3,0,3,3,0,0,3,3,0,1,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,3,0,3,0,0,0,0,0,3,1,3,0,0,1,3,0,0,1,0,3,0,0,1,3,3,0,3,0,0,2,3,1,0,3,3,0,3,3,1,0,3,3,3,0,0,0,0,0,-1,0,0,0,0,0,1,1,3,3,1,0,0,0,1,3,0,3,0,0,0,0,0,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,3,0,0,1,0,0,1,3,3,1,0,0,0,1,0,1,0,3,0,0,0,1,3,3,0,0,2,3,0,0,0,0,0,0,0,3,0,1,1,0,3,0,0,0,1,3,0,0,0,0,0,0,3,0,0,0,0,3,3
